Date,Downsize,T2123_Wkly,Breadth_Strength,V_And_M,Use_TLT,Sergy_Ratio,Primary_Asset
2015-06-10,2.0,False,1.0,,False,,DIA
2015-06-11,2.0,False,1.0,,False,,DIA
2015-06-12,2.0,False,1.0,,False,,DIA
2015-06-15,2.0,False,1.0,,False,,DIA
2015-06-16,2.0,False,1.0,,False,,DIA
2015-06-17,2.0,False,1.0,,False,,DIA
2015-06-18,2.0,False,1.0,,False,,DIA
2015-06-19,2.0,False,1.0,,False,,DIA
2015-06-22,1.0,False,1.0,,False,,DIA
2015-06-23,1.0,False,1.0,,False,,DIA
2015-06-24,2.0,False,1.0,,False,,DIA
2015-06-25,2.0,False,1.0,,False,,DIA
2015-06-26,2.0,False,1.0,,False,,DIA
2015-06-29,2.0,False,1.0,,False,,DIA
2015-06-30,2.0,False,1.0,,False,,DIA
2015-07-01,2.0,False,1.0,,False,,DIA
2015-07-02,2.0,False,1.0,,False,,DIA
2015-07-06,2.0,False,1.0,,False,,DIA
2015-07-07,2.0,False,1.0,,False,,DIA
2015-07-08,3.0,False,1.0,,False,,DIA
2015-07-09,3.0,False,1.0,,False,,DIA
2015-07-10,2.0,False,1.0,,False,,DIA
2015-07-13,2.0,False,1.0,,False,,DIA
2015-07-14,2.0,False,1.0,,False,,DIA
2015-07-15,2.0,False,1.0,,False,,DIA
2015-07-16,1.0,False,1.0,,False,,DIA
2015-07-17,1.0,False,1.0,,False,,DIA
2015-07-20,2.0,False,1.0,,False,,DIA
2015-07-21,1.0,False,1.0,,False,,DIA
2015-07-22,1.0,False,1.0,,False,,DIA
2015-07-23,1.0,False,1.0,,False,,DIA
2015-07-24,2.0,False,1.0,,False,,DIA
2015-07-27,2.0,False,1.0,,False,,DIA
2015-07-28,2.0,False,1.0,,False,,DIA
2015-07-29,1.0,False,1.0,,False,,DIA
2015-07-30,1.0,False,1.0,,False,,DIA
2015-07-31,1.0,False,1.0,,False,,DIA
2015-08-03,1.0,False,1.0,,False,,DIA
2015-08-04,1.0,False,1.0,,False,,DIA
2015-08-05,1.0,False,1.0,,False,,DIA
2015-08-06,2.0,False,1.0,,False,,DIA
2015-08-07,2.0,False,1.0,,False,,DIA
2015-08-10,1.0,False,1.0,,False,,DIA
2015-08-11,2.0,False,1.0,,False,,DIA
2015-08-12,2.0,False,1.0,,False,,DIA
2015-08-13,2.0,False,1.0,,False,,DIA
2015-08-14,1.0,False,1.0,,False,,DIA
2015-08-17,1.0,False,1.0,,False,,DIA
2015-08-18,1.0,False,1.0,,False,,DIA
2015-08-19,2.0,False,1.0,,False,,DIA
2015-08-20,2.0,False,1.0,,False,,DIA
2015-08-21,3.0,False,1.0,,False,,DIA
2015-08-24,3.0,False,1.0,,False,,DIA
2015-08-25,3.0,False,1.0,,False,,DIA
2015-08-26,3.0,False,1.0,,False,,DIA
2015-08-27,3.0,False,1.0,,False,,DIA
2015-08-28,3.0,False,1.0,,False,,DIA
2015-08-31,3.0,False,1.0,,False,,DIA
2015-09-01,3.0,False,1.0,,False,,DIA
2015-09-02,3.0,False,1.0,,False,,DIA
2015-09-03,3.0,False,1.0,,False,,DIA
2015-09-04,3.0,False,1.0,,False,,DIA
2015-09-08,3.0,False,1.0,,False,,DIA
2015-09-09,3.0,False,1.0,,False,,DIA
2015-09-10,3.0,False,1.0,,False,,DIA
2015-09-11,3.0,False,1.0,,False,,DIA
2015-09-14,3.0,False,1.0,,False,,DIA
2015-09-15,3.0,False,1.0,,False,,DIA
2015-09-16,2.0,False,1.0,,False,,DIA
2015-09-17,2.0,False,1.0,,False,,DIA
2015-09-18,2.0,False,1.0,,False,,DIA
2015-09-21,2.0,False,1.0,,False,,DIA
2015-09-22,3.0,False,1.0,,False,,DIA
2015-09-23,3.0,False,1.0,,False,,DIA
2015-09-24,3.0,False,1.0,,False,,DIA
2015-09-25,3.0,False,1.0,,False,,DIA
2015-09-28,3.0,False,1.0,,False,,DIA
2015-09-29,3.0,False,1.0,,False,,DIA
2015-09-30,3.0,False,1.0,,False,,DIA
2015-10-01,3.0,False,1.0,,False,,DIA
2015-10-02,3.0,False,1.0,,False,,DIA
2015-10-05,2.0,False,1.0,,False,,DIA
2015-10-06,3.0,False,1.0,,False,,DIA
2015-10-07,2.0,False,1.0,,False,,DIA
2015-10-08,1.0,False,1.0,,False,,DIA
2015-10-09,0.0,True,1.0,,False,,DIA
2015-10-12,0.0,True,1.0,,False,,DIA
2015-10-13,0.0,True,1.0,,False,,DIA
2015-10-14,0.0,True,1.0,,False,,DIA
2015-10-15,0.0,True,1.0,,False,,DIA
2015-10-16,0.0,True,1.0,,False,,DIA
2015-10-19,0.0,True,1.0,,False,,DIA
2015-10-20,0.0,True,1.0,,False,,DIA
2015-10-21,0.0,True,1.0,,False,,DIA
2015-10-22,0.0,True,1.0,,False,,DIA
2015-10-23,0.0,True,1.0,,False,,DIA
2015-10-26,0.0,True,1.0,,False,,DIA
2015-10-27,0.0,True,1.0,,False,,DIA
2015-10-28,0.0,True,1.0,,False,,DIA
2015-10-29,0.0,True,1.0,,False,,DIA
2015-10-30,0.0,True,1.0,,False,,DIA
2015-11-02,0.0,True,1.0,,False,,DIA
2015-11-03,0.0,True,1.0,,False,,DIA
2015-11-04,0.0,True,1.0,,False,,DIA
2015-11-05,0.0,True,1.0,,False,,DIA
2015-11-06,0.0,True,1.0,,False,,DIA
2015-11-09,0.0,True,1.0,,False,,DIA
2015-11-10,0.0,True,1.0,,False,,DIA
2015-11-11,0.0,True,1.0,,False,,DIA
2015-11-12,0.0,True,1.0,,False,,DIA
2015-11-13,2.0,False,1.0,,False,,DIA
2015-11-16,2.0,False,1.0,,False,,DIA
2015-11-17,2.0,False,1.0,,False,,DIA
2015-11-18,1.0,False,1.0,,False,,DIA
2015-11-19,1.0,False,1.0,,False,,DIA
2015-11-20,1.0,False,1.0,,False,,DIA
2015-11-23,1.0,False,1.0,,False,,DIA
2015-11-24,1.0,False,1.0,,False,,DIA
2015-11-25,1.0,False,1.0,,False,,DIA
2015-11-27,0.0,True,1.0,,False,,DIA
2015-11-30,0.0,True,1.0,,False,,DIA
2015-12-01,0.0,True,1.0,,False,,DIA
2015-12-02,0.0,True,1.0,,False,,DIA
2015-12-03,0.0,True,1.0,,False,,DIA
2015-12-04,1.0,False,1.0,,False,,DIA
2015-12-07,1.0,False,1.0,,False,,DIA
2015-12-08,2.0,False,1.0,,False,,DIA
2015-12-09,2.0,False,1.0,,False,,DIA
2015-12-10,3.0,False,1.0,,False,,DIA
2015-12-11,3.0,False,1.0,,False,,DIA
2015-12-14,3.0,False,1.0,,False,,DIA
2015-12-15,3.0,False,1.0,,False,,DIA
2015-12-16,1.0,False,1.0,,False,,DIA
2015-12-17,1.0,False,1.0,,False,,DIA
2015-12-18,1.0,False,1.0,,False,,DIA
2015-12-21,2.0,False,1.0,,False,,DIA
